,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
2023-03-31,47,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,0,185,596,2,0,26,0,31,0,0,44,0,0,0,0,502,0,0,0,0,28,3,0,0,0,0,0,0,0,0,84,9,14,12,2,71,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,125,0,6,350,0,0,13,278,0,0,0,0,61,307,0,57,0,0,0,6,33,0,0,0,6,0,0,0,0,0,0,137,0,0,0,0,0,0,147,0,0,2,3,0,0,7,0,5167,0,0,0,0,0,154,0,0
2023-04-30,52,0,0,0,0,7,0,0,3,0,1,0,0,0,0,0,0,208,697,3,0,48,0,54,0,0,30,0,0,0,0,563,3,0,0,0,8,6,0,0,0,0,0,0,0,0,215,2,34,10,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,382,0,0,16,364,0,0,0,0,7,309,0,69,0,0,0,0,24,0,0,0,9,0,0,0,0,0,0,75,0,0,0,0,660,0,138,0,0,1,6,0,0,6,0,3753,0,0,0,0,0,39,0,0
2023-05-31,16,0,1,0,0,4,0,0,0,0,0,0,20,0,1,0,0,163,567,5,0,51,0,31,28,0,31,0,0,0,0,224,0,0,0,0,116,6,0,0,0,0,0,0,0,0,1,9,90,2,6,32,52,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,97,0,0,363,0,0,19,212,0,0,0,0,15,335,0,71,0,0,0,0,20,0,0,0,35,0,0,0,0,0,0,318,0,0,2,0,1040,0,74,0,0,2,1,0,0,12,0,3830,0,0,0,0,5,48,0,0
2023-06-30,24,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,251,754,2,0,63,0,70,23,0,24,0,0,0,0,246,0,0,0,0,79,2,0,0,0,1,0,0,0,0,0,60,35,0,3,57,17,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,92,0,0,347,0,0,15,259,0,0,0,0,28,405,0,51,0,0,0,0,15,0,0,0,61,0,0,0,0,0,0,226,3,8,0,0,619,0,126,0,0,2,2,0,0,16,46,4277,0,0,0,0,0,29,0,0
2023-07-31,11,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,190,492,5,0,58,0,29,0,0,16,0,0,0,0,198,31,2,0,0,126,3,0,0,0,1,0,0,0,0,2,3,46,0,11,30,21,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,247,0,0,371,0,0,21,201,0,0,0,0,16,445,0,112,0,1,0,0,11,0,0,0,6,0,0,0,0,0,0,495,0,0,0,0,551,0,114,0,0,3,12,0,0,10,3,3896,0,0,0,0,1,55,0,0
2023-08-31,22,0,0,0,0,1,0,0,0,0,3,0,6,0,0,0,0,223,415,7,0,49,0,36,2,0,44,0,0,0,0,281,0,0,0,0,428,9,0,0,0,0,0,0,0,0,58,2,35,11,5,52,12,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,163,0,0,357,0,0,26,210,0,0,0,0,116,144,0,86,0,0,0,0,14,0,0,0,26,0,0,0,0,0,0,391,1,0,0,0,630,0,255,0,0,11,0,0,0,12,0,3480,0,0,0,0,0,105,0,0
2023-09-30,5,0,0,0,0,4,0,0,430,0,0,0,5,0,0,0,0,176,336,62,0,66,0,13,35,0,72,0,0,0,0,194,0,0,0,0,281,4,0,0,0,0,0,0,0,0,0,3,29,10,2,28,9,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,354,0,0,286,0,0,15,220,0,0,0,0,43,195,0,148,0,0,0,6,26,0,0,0,13,0,4,0,0,0,0,450,0,1,0,0,416,0,259,0,0,1,0,0,0,6,0,2983,0,0,0,0,1,36,0,0
2023-10-31,49,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,192,569,1,0,38,0,21,0,0,49,0,0,0,0,348,0,3,0,0,184,1,0,0,0,0,0,0,0,0,0,7,22,18,0,31,9841,0,0,0,0,13,0,0,0,0,32,0,0,0,0,0,154,0,0,295,0,1,5,207,0,0,0,0,86,214,0,112,0,0,0,0,1,0,0,0,6,0,5,0,0,0,0,181,0,0,0,0,571,0,399,0,0,1,3,0,0,11,11,5255,0,0,0,0,3,51,0,0
2023-11-30,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,222,505,2,0,101,0,17,9,1,28,0,0,0,0,202,0,0,0,0,428,3,0,1,0,1,0,0,0,0,14,2,39,13,1,41,6211,0,0,0,0,4,1,0,0,0,52,0,0,0,0,0,191,0,0,300,0,0,13,422,0,0,0,0,63,521,0,128,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,2102,0,192,0,0,1,3,0,0,2,0,3735,0,0,0,0,1,40,0,0
2023-12-31,9,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,172,114,28,0,71,0,62,1,0,22,0,0,0,0,123,0,0,0,0,244,3,0,0,0,0,0,0,0,0,12,5,24,1,14,39,7097,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,219,0,0,316,0,4,21,255,0,0,0,0,13,364,0,84,0,0,0,0,63,0,0,0,30,0,0,0,0,0,0,201,0,0,0,0,384,0,164,0,0,0,0,0,3,4,13,3386,0,0,0,0,0,11,0,0
